Team,Opponent,Year,Date,W/L,W%,SRS,EXP,PTS,REB,AST,STL,BLK,TOV,TS%,3P%
Michigan State,Syracuse,2018,2018-03-18,0,0.261,9.52,0.21,7.4,4.4,2.1,-0.5,2.6,1.0,0.026,0.051
Missouri,Florida State,2018,2018-03-16,0,-0.020,-1.97,0.48,-6.2,-1.4,-1.9,-2.7,-1.8,0.9,-0.002,0.003
Montana,Michigan,2018,2018-03-15,0,-0.006,-12.74,0.02,4.4,4.6,3.9,4.4,2.8,-2.9,0.005,0.006
Murray State,West Virginia,2018,2018-03-16,0,0.133,-13.02,-0.08,-2.4,-0.3,-0.6,-1.1,-2.1,1.7,0.004,-0.025
Nevada,Texas,2018,2018-03-16,1,0.218,0.48,0.77,7.4,2.1,4.1,2.6,2.7,0.9,0.035,0.029
Nevada,Cincinnati,2018,2018-03-18,1,-0.088,-5.81,0.80,12.0,10.0,10.9,8.4,8.4,1.6,0.050,0.024
Nevada,Loyola (IL),2018,2018-03-22,0,-0.054,4.07,0.33,10.8,7.8,7.6,5.1,5.7,1.4,0.003,-0.005
New Mexico State,Clemson,2018,2018-03-16,0,0.130,-8.10,0.19,0.1,3.0,0.4,-0.9,-1.2,-1.3,-0.018,-0.037
North Carolina,Lipscomb,2018,2018-03-16,1,-0.004,22.17,-0.23,-2.5,1.3,0.1,-2.9,-2.4,3.4,-0.014,0.035
North Carolina,Texas A&M,2018,2018-03-18,0,0.089,4.77,0.11,3.4,5.0,2.4,0.9,0.0,-1.4,0.018,0.054
North Carolina Greensboro,Gonzaga,2018,2018-03-15,0,-0.088,-13.90,0.52,-7.8,0.4,-1.2,-1.4,-2.1,-2.6,-0.017,-0.025
North Carolina State,Seton Hall,2018,2018-03-15,0,0.000,-2.76,0.25,1.5,1.5,2.1,1.3,0.8,-0.8,0.008,-0.008
Ohio State,South Dakota State,2018,2018-03-15,1,-0.074,10.83,-0.45,-7.5,-2.8,-1.9,-2.8,-2.7,-1.7,-0.011,-0.016
Ohio State,Gonzaga,2018,2018-03-17,0,-0.132,-0.77,0.23,-3.7,2.6,1.8,0.4,0.5,-0.1,-0.005,-0.007
Oklahoma,Rhode Island,2018,2018-03-15,0,-0.201,2.00,-0.66,10.9,8.5,8.1,7.0,7.3,0.0,0.007,0.019
Pennsylvania,Kansas,2018,2018-03-15,0,-0.044,-19.15,0.39,-4.3,-0.4,-0.2,-1.3,-1.9,0.2,-0.027,-0.045
Providence,Texas A&M,2018,2018-03-16,0,-0.007,-4.18,0.18,-0.8,1.3,-0.1,1.1,-0.4,-2.4,0.017,0.012
Purdue,Cal State Fullerton,2018,2018-03-16,1,0.178,24.34,0.77,1.8,-1.6,-0.4,-2.2,-1.6,2.1,0.012,0.036
Purdue,Butler,2018,2018-03-18,1,0.217,6.49,0.75,-2.7,-2.2,-1.6,-3.1,-2.7,1.1,-0.012,0.011
Purdue,Texas Tech,2018,2018-03-23,0,0.096,4.03,0.26,3.4,1.8,3.5,0.3,1.1,2.2,0.020,0.035
Radford,Villanova,2018,2018-03-15,0,-0.225,-29.26,0.00,-12.3,-1.7,-3.2,-1.9,-2.5,-0.9,-0.038,-0.010
Rhode Island,Oklahoma,2018,2018-03-15,1,0.201,-2.00,0.66,-10.9,-8.6,-6.2,-6.2,-6.9,0.0,-0.007,-0.019
Rhode Island,Duke,2018,2018-03-17,0,-0.007,-12.62,1.21,-4.6,0.3,0.0,0.4,0.1,-0.9,0.005,-0.004
San Diego State,Houston,2018,2018-03-15,0,-0.100,-3.76,-0.05,1.7,4.4,3.4,2.1,1.8,-0.2,0.002,-0.023
Seton Hall,North Carolina State,2018,2018-03-15,1,0.000,2.76,-0.25,-1.5,0.9,0.3,-0.6,-0.9,0.8,-0.008,0.008
Seton Hall,Kansas,2018,2018-03-17,0,-0.138,-5.72,0.00,0.0,2.6,2.4,1.4,1.0,-0.4,-0.009,-0.016
South Dakota State,Ohio State,2018,2018-03-15,0,0.074,-10.83,0.45,7.5,7.0,4.1,3.3,3.2,1.7,0.011,0.016
St. Bonaventure,Florida,2018,2018-03-15,0,0.163,-7.79,0.31,1.4,-0.1,2.0,2.1,1.0,-1.1,0.015,-0.007
Stephen F. Austin,Texas Tech,2018,2018-03-15,0,0.096,-16.72,0.10,4.7,3.4,3.7,3.9,1.4,-3.9,0.028,0.024
Syracuse,Texas Christian,2018,2018-03-16,1,-0.039,-3.49,-0.71,-13.6,-2.4,-8.2,-5.4,-5.3,0.0,-0.063,-0.068
Syracuse,Michigan State,2018,2018-03-18,1,-0.261,-9.52,-0.21,-7.4,3.0,-1.2,0.0,0.9,-1.0,-0.026,-0.051
Syracuse,Duke,2018,2018-03-23,0,-0.170,-11.54,0.64,-11.8,-0.8,-4.8,-2.3,-1.5,-0.3,-0.029,-0.028
Tennessee,Wright State,2018,2018-03-15,1,0.022,17.62,-0.69,1.1,1.1,1.8,0.1,0.7,1.2,0.007,0.007
Tennessee,Loyola (IL),2018,2018-03-17,0,-0.091,7.83,-0.54,2.7,4.4,3.6,1.4,2.3,-0.4,-0.022,-0.011
Texas,Nevada,2018,2018-03-16,0,-0.218,-0.48,-0.77,-7.4,-2.5,-2.9,-1.4,-1.1,-0.9,-0.035,-0.029
Texas A&M,Providence,2018,2018-03-16,1,0.007,4.18,-0.18,0.8,3.0,-1.0,-0.1,-0.7,2.4,-0.017,-0.012
Texas A&M,North Carolina,2018,2018-03-18,1,-0.089,-4.77,-0.11,-3.4,4.3,-2.2,-0.3,-1.6,1.4,-0.018,-0.054
Texas A&M,Michigan,2018,2018-03-22,0,-0.169,-3.73,0.14,5.6,9.3,5.1,5.7,4.3,0.6,-0.017,-0.027
Texas Christian,Syracuse,2018,2018-03-16,0,0.039,3.49,0.71,13.6,7.3,7.1,6.0,6.1,0.0,0.063,0.068
Texas Southern,Xavier,2018,2018-03-16,0,-0.391,-26.59,0.26,-1.2,4.8,1.4,1.9,2.6,-0.2,-0.024,0.010
Texas Tech,Stephen F. Austin,2018,2018-03-15,1,-0.096,16.72,-0.10,-4.7,0.2,-1.0,-1.9,-1.4,3.9,-0.028,-0.024
Texas Tech,Florida,2018,2018-03-17,1,0.102,2.72,0.34,-2.8,-2.9,-0.9,-0.9,-1.6,-1.8,-0.001,-0.020
Texas Tech,Purdue,2018,2018-03-23,1,-0.096,-4.03,-0.26,-3.4,1.3,0.7,0.5,0.4,-2.2,-0.020,-0.035
Texas Tech,Villanova,2018,2018-03-25,0,-0.155,-7.26,0.07,-8.7,-1.1,-2.2,-1.6,-1.9,-1.9,-0.039,-0.018
Villanova,Radford,2018,2018-03-15,1,0.225,29.26,0.00,12.3,4.8,5.1,3.2,3.1,0.9,0.038,0.010
Villanova,Alabama,2018,2018-03-17,1,0.324,14.30,0.57,7.0,0.0,2.1,-0.2,0.0,2.0,0.038,0.032
Villanova,West Virginia,2018,2018-03-23,1,0.176,6.75,0.08,3.6,1.1,2.3,0.8,0.4,2.2,0.027,-0.008
Villanova,Texas Tech,2018,2018-03-25,1,0.155,7.26,-0.07,8.7,4.5,5.8,3.0,2.9,1.9,0.039,0.018
Villanova,Kansas,2018,2018-03-31,1,0.088,5.25,0.17,1.8,-0.5,0.9,-0.4,-0.6,0.5,0.015,-0.008
Villanova,Michigan,2018,2018-04-02,1,0.088,7.61,0.44,10.0,4.9,6.7,4.6,4.0,-0.7,0.034,0.017
Virginia,Maryland Baltimore County,2018,2018-03-16,0,0.234,24.22,-0.15,-10.3,-9.0,-6.9,-7.2,-6.8,2.9,-0.026,-0.019
Virginia Tech,Alabama,2018,2018-03-15,0,0.097,2.01,0.65,4.6,-0.6,3.1,0.4,0.1,1.2,0.035,0.041
West Virginia,Murray State,2018,2018-03-16,1,-0.133,13.02,0.08,2.4,5.0,4.3,3.0,2.7,-1.7,-0.004,0.025
West Virginia,Marshall,2018,2018-03-18,1,0.000,15.68,0.02,-6.6,-6.2,-4.7,-4.0,-3.5,-0.2,-0.009,0.010
West Virginia,Villanova,2018,2018-03-23,0,-0.176,-6.75,-0.08,-3.6,2.3,0.6,1.3,1.0,-2.2,-0.027,0.008
Wichita State,Marshall,2018,2018-03-16,0,0.075,12.37,0.35,-4.3,-3.9,-2.0,-4.7,-3.2,2.2,0.005,0.016
Wright State,Tennessee,2018,2018-03-15,0,-0.022,-17.62,0.69,-1.1,1.2,1.2,0.6,-0.4,-1.2,-0.007,-0.007
Xavier,Texas Southern,2018,2018-03-16,1,0.391,26.59,-0.26,1.2,-2.4,-2.0,-2.1,-2.8,0.2,0.024,-0.010
Xavier,Florida State,2018,2018-03-18,0,0.203,3.28,0.48,3.0,2.5,3.0,1.0,0.9,1.6,0.026,0.001
