Team,Opponent,Year,Date,W/L,W%,SRS,EXP,PTS,REB,AST,STL,BLK,TOV,TS%,3P%
Purdue,Fairleigh Dickinson,2023,2023-03-17,0,0.282,27.21,-0.41,-8.1,-3.4,-5.5,-6.3,-5.9,2.9,-0.035,-0.030
Saint Mary's (CA),Virginia Commonwealth,2023,2023-03-17,1,-0.006,7.52,-0.16,-1.5,-0.3,-1.0,-1.3,-1.4,3.3,-0.001,0.015
Saint Mary's (CA),Connecticut,2023,2023-03-19,0,0.030,-5.54,-0.01,-5.9,0.6,-0.4,-1.9,-1.6,1.2,-0.005,0.018
San Diego State,College of Charleston,2023,2023-03-16,1,-0.099,7.41,0.59,-6.3,-0.7,-1.3,-1.3,-1.8,0.6,-0.007,-0.003
San Diego State,Furman,2023,2023-03-18,1,0.018,10.92,0.36,-8.7,-2.4,-3.2,-3.4,-3.3,-0.2,-0.042,-0.021
San Diego State,Alabama,2023,2023-03-24,1,-0.040,-7.38,0.50,-7.7,-3.0,-0.8,-2.7,-2.3,0.5,0.012,0.007
San Diego State,Creighton,2023,2023-03-26,1,0.176,-2.02,0.97,-5.1,-0.9,-2.0,-2.1,-1.9,-1.6,-0.015,-0.029
San Diego State,Florida Atlantic,2023,2023-04-01,1,-0.099,1.89,0.82,-4.2,0.8,1.5,-0.4,-0.1,-0.2,-0.013,-0.029
San Diego State,Connecticut,2023,2023-04-03,0,0.055,-7.14,0.81,-4.0,2.8,1.6,-0.2,0.3,0.5,-0.014,-0.014
Southern California,Michigan State,2023,2023-03-17,0,0.075,-1.19,-0.41,0.5,1.1,0.0,0.4,0.6,-2.0,-0.012,-0.019
Tennessee,Louisiana Lafayette,2023,2023-03-16,1,-0.091,16.57,-0.18,-9.1,-1.8,-2.8,-5.0,-5.6,-1.0,-0.046,-0.059
Tennessee,Duke,2023,2023-03-18,1,-0.068,5.01,0.53,-3.5,0.9,-0.2,-1.8,-2.9,-1.9,-0.018,-0.023
Tennessee,Florida Atlantic,2023,2023-03-23,0,-0.215,6.92,0.43,-7.2,-1.0,0.5,-2.5,-3.1,-1.3,-0.031,-0.048
Texas,Colgate,2023,2023-03-16,1,0.000,18.36,-0.42,-0.8,0.6,0.1,0.2,-0.5,-2.4,-0.023,-0.046
Texas,Penn State,2023,2023-03-18,1,0.136,7.52,-0.29,2.7,-0.6,0.9,1.4,0.2,-4.9,-0.002,-0.022
Texas,Xavier,2023,2023-03-24,1,0.029,4.53,-0.10,-4.6,-2.2,-2.3,-2.7,-3.3,-1.6,-0.011,-0.039
Texas,Miami (FL),2023,2023-03-26,0,-0.017,6.58,0.08,-2.6,-1.1,-1.3,-1.1,-2.0,-1.9,-0.015,-0.016
Texas A&M,Penn State,2023,2023-03-16,0,0.107,0.72,-0.09,-0.5,0.1,-1.6,0.1,-1.1,-4.4,-0.013,-0.029
