Team,Opponent,Year,Date,W/L,W%,SRS,EXP,PTS,REB,AST,STL,BLK,TOV,TS%,3PA/FGA,3P%
Southern California,Michigan State,2023,2023-03-17,0,0.075,-1.19,-0.41,1.6,-0.4,-1.1,2.2,2.1,1.5,0.002,0.000,-0.048
Tennessee,Louisiana Lafayette,2023,2023-03-16,1,-0.091,16.57,-0.18,-6.6,1.9,2.3,1.1,0.6,-0.2,-0.040,0.077,-0.047
Tennessee,Duke,2023,2023-03-18,1,-0.068,5.01,0.53,-1.2,-0.3,2.1,2.6,-0.9,0.0,-0.017,0.047,-0.006
Tennessee,Florida Atlantic,2023,2023-03-23,0,-0.215,6.92,0.43,-7.0,-0.5,2.3,1.8,1.0,0.2,-0.043,-0.042,-0.037
Texas,Colgate,2023,2023-03-16,1,0.000,18.36,-0.42,-0.1,0.4,-2.0,0.8,0.7,1.4,-0.029,-0.003,-0.056
Texas,Penn State,2023,2023-03-18,1,0.136,7.52,-0.29,5.8,1.5,2.5,3.5,1.5,2.6,-0.007,-0.126,-0.040
Texas,Xavier,2023,2023-03-24,1,0.029,4.53,-0.10,-2.9,-3.6,-2.9,1.5,0.4,-0.8,-0.012,0.034,-0.043
Texas,Miami (FL),2023,2023-03-26,0,-0.017,6.58,0.08,-1.1,-0.6,1.7,0.6,0.5,0.5,-0.014,0.003,-0.021
Texas A&M,Penn State,2023,2023-03-16,0,0.107,0.72,-0.09,0.6,4.2,-1.2,2.3,0.2,3.3,-0.028,-0.127,-0.061
Texas A&M-Corpus Christi,Alabama,2023,2023-03-16,0,-0.147,-25.76,0.24,-1.7,-7.3,0.3,2.4,-3.4,-1.0,0.001,-0.131,0.029
Texas Christian,Arizona State,2023,2023-03-17,1,-0.021,4.32,-0.30,4.2,-0.7,1.8,0.9,0.0,0.2,0.019,-0.093,-0.012
Texas Christian,Gonzaga,2023,2023-03-19,0,-0.212,-3.38,-0.22,-10.8,-1.4,-0.2,0.8,1.3,1.2,-0.069,-0.023,-0.069
UCLA,North Carolina Asheville,2023,2023-03-16,1,0.059,23.85,-0.65,-0.3,0.5,1.8,2.1,-0.2,-4.2,-0.039,-0.084,-0.039
UCLA,Northwestern,2023,2023-03-18,1,0.197,8.43,-0.46,6.4,0.8,1.7,0.5,-0.1,0.4,0.028,-0.119,0.028
UCLA,Gonzaga,2023,2023-03-23,0,0.004,3.12,-0.46,-12.0,-1.9,-1.8,1.2,0.4,-0.7,-0.063,-0.033,-0.030
